0;27;83,71094;0.3851031;-0.9682367;-0.416734;0.2738661;-0.6457598;0.273354;-0.992153;-0.7992674;0.479503;0.5042257;-0.5259808;-0.6841061;0.4343753;-0.4886135;0.2739261;-1;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.3764391
1;1;3,019531;0.3851031;-0.9682367;-0.416734;0.2738661;-0.6457598;0.273354;-0.992153;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.4343753;-0.2983135;0.2739261;-1;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.3764391
2;2;15,83984;-0.4862971;-0.7779171;0.2278097;0.521367;0.09150243;0.1016797;0.6321642;-0.4572242;0.1629685;0.5581138;0.4487786;-0.8699671;-0.2091547;0.8744398;0.7297675;0.07011108;-0.7356266;0.6671572;0.9423144;-0.8524686;-0.9678573;0.07449649;-0.03752669;0.2238533
3;2;10,69922;-0.4862971;-0.7779171;0.4181097;0.521367;0.09150243;0.1016797;0.6321642;-0.4572242;0.1629685;0.5581138;0.4487786;-0.8699671;-0.2091547;0.8744398;0.7297675;0.07011108;-0.7356266;0.6671572;0.9423144;-0.8524686;-0.9678573;0.07449649;-0.03752669;0.09135329
4;15;31,48828;-0.4862971;-0.7779171;0.4181097;0.521367;0.3710024;0.1016797;0.6321642;-0.4572242;0.00566849;0.6503138;0.4033786;-0.8699671;-0.2091547;0.8744398;0.7297675;0.02591109;-0.7356266;0.6671572;0.9423144;-0.8524686;-0.9678573;0.0476965;-0.08862668;0.2238533
5;13;53,84375;-0.4862971;-0.7779171;0.4181097;0.521367;0.3710024;0.1016797;0.6321642;-0.4572242;0.1629685;0.6503138;0.4033786;-0.8699671;-0.2091547;0.8744398;0.7297675;0.02591109;-0.7356266;0.6671572;0.9423144;-1;-0.9678573;0.0476965;-0.08862668;0.2238533
6;0;1,488281;-0.4862971;-0.7779171;0.4181097;0.521367;-0.1512976;0.1016797;0.5506642;-0.4572242;0.1629685;0.5581138;0.4487786;-0.8699671;-0.3321547;0.8744398;0.4793675;-0.2052889;-0.7356266;0.6671572;0.9423144;-0.8524686;-0.9678573;0.3318965;-0.08862668;0.2238533
7;5;33,28125;-0.5930971;-0.7779171;0.4181097;0.521367;0.02490242;0.1016797;0.5506642;-0.4572242;0.1629685;0.5581138;0.4487786;-0.8699671;-0.3321547;0.8744398;0.4793675;-0.2052889;-0.7356266;0.6671572;0.9423144;-0.8524686;-0.9678573;0.3318965;-0.08862668;0.2238533
8;32;87,14453;0.4620031;-0.9682367;-0.188134;0.2352661;-0.6457598;0.193354;-0.520253;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.2864261;-1;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.3764391
9;2;7,65625;0.4620031;-0.9682367;-0.188134;0.3446661;-0.6457598;0.193354;-0.703153;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.2864261;-1;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.3764391
10;19;69,875;0.3479031;-0.9682367;-0.272434;0.2738661;-0.6457598;0.193354;-0.703153;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.4434753;-0.4886135;0.0610261;-0.8619;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.3764391
11;1;15,93359;0.3479031;-0.9682367;-0.272434;0.2738661;-0.8590598;0.193354;-0.703153;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.0610261;-0.8619;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.3764391
12;9;30,46875;0.2238031;-0.9682367;-0.122634;0.2738661;-0.6457598;0.193354;-0.794653;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.0610261;-0.7518;-0.4825207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.3764391
13;1;14,30469;0.2238031;-0.9682367;-0.122634;0.2738661;-0.6457598;0.193354;-0.794653;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.0610261;-1;-0.4825207;-0.9408586;0.2696641;-0.8935642;0.6634543;1;-0.7028339;0.3764391
14;3;16,55469;0.4620031;-0.9682367;-0.188134;0.2738661;-0.6457598;0.193354;-0.703153;-0.7000674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.2864261;-1;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.1692391
0.4620031;-0.9682367;-0.188134;0.2738661;-0.6457598;0.193354;-0.703153;-0.7000674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.2864261;-1;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.4394543;1;-0.7028339;0.3764391
0.2238031;-0.9682367;-0.272434;0.2738661;-0.6457598;0.433054;-0.703153;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.0610261;-0.8619;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.7302543;1;-0.7028339;0.3764391
0.2238031;-0.9682367;-0.272434;0.2738661;-0.6457598;0.433054;-0.703153;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.0610261;-0.8619;-0.4932207;-0.9408586;0.2696641;-0.8935642;0.6151543;1;-0.7028339;0.6334391
0.3082031;-1;-0.575134;0.2738661;-0.6457598;0.287054;-0.701053;-0.9652674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.5239135;0.0610261;-0.9370968;-0.4932207;-0.9408586;0.1889641;-0.7922642;0.6151543;0.8902192;-0.4197339;0.3764391
0.3082031;-1;-0.575134;0.2738661;-0.6457598;0.287054;-0.701053;-0.7992674;0.299203;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.5239135;0.0610261;-0.9370968;-0.4932207;-0.9408586;0.1889641;-0.7922642;0.6151543;0.8902192;-0.4197339;0.3764391
0.4188332;-0.4272809;-0.2679645;-0.03241161;0.4803103;-0.2710552;0.8486328;-0.00351501;0.01491286;0.6867077;-0.1228259;-0.09495389;0.582774;0.2158301;0.3680346;0.6786158;-0.809213;0.9592596;0.8508518;-0.9151405;-0.6403773;-0.8176789;-0.826144;-0.2422058
0.4188332;-0.4272809;-0.2679645;0.1987884;0.4803103;-0.2710552;0.8486328;-0.00351501;0.01491286;0.6867077;-0.1228259;-0.09495389;0.582774;0.2158301;0.3680346;0.6786158;-0.809213;0.9592596;0.8508518;-0.7228405;-0.6403773;-0.8176789;-0.826144;-0.2422058
0.05040693;0.05041802;0.0311439;-0.5116225;-0.267081;0.1760941;0.08526468;-1;0.885426;-0.9799234;-0.6912118;-0.6396242;-0.5329547;-0.4320643;0.4670923;-0.4285369;0.651051;-0.945498;-0.2307675;-0.3956974;-0.5684417;-0.56488;-0.8258091;0.3073741
0.05040693;0.05041802;0.0311439;-0.5116225;-0.267081;0.1760941;0.07956467;-1;0.885426;-0.9570234;-0.6912118;-0.6396242;-0.5329547;-0.4320643;0.4670923;-0.4285369;0.651051;-0.945498;-0.2307675;-0.3956974;-0.5684417;-0.56488;-0.8258091;0.3073741
0.2238031;-1;-0.416734;0.1967661;-0.6457598;0.193354;-0.500053;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.0610261;-1;-0.4932207;-1;0.5355641;-0.8935642;0.6151543;0.8902192;-0.9704339;0.3764391
0.2238031;-1;-0.416734;0.1967661;-0.6457598;0.193354;-0.500053;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.2940753;-0.4886135;0.0610261;-1;-0.5636207;-1;0.2696641;-0.8935642;0.6151543;0.8902192;-0.9704339;0.3764391
0.2238031;-0.9682367;-0.416734;0.2738661;-0.6457598;0.476954;-0.794653;-0.7992674;0.479503;0.2169257;-0.5259808;-0.6841061;0.1460753;-0.4886135;0.0610261;-1;-0.4489207;-0.9408586;0.2696641;-0.8935642;0.8516543;1;-0.7028339;0.3764391
0.2238031;-0.9682367;-0.416734;0.2738661;-0.6457598;0.193354;-0.794653;-0.7992674;0.713803;0.2169257;-0.5259808;-0.6841061;0.1460753;-0.4886135;0.0610261;-1;-0.4489207;-0.9408586;0.2696641;-0.8935642;0.8516543;1;-0.7028339;0.3764391
-0.4862971;-1;0.4181097;0.521367;0.09150243;0.1016797;0.5619642;-0.4572242;0.1629685;0.6988138;0.4487786;-0.8699671;-0.2091547;0.8744398;0.4793675;0.02591109;-0.7356266;0.6671572;1;-0.5772686;-0.9678573;0.3318965;-0.08862668;0.1490533
-0.4862971;-1;0.4181097;0.521367;-0.1746976;0.1016797;0.5619642;-0.4572242;0.1629685;0.6988138;0.4487786;-0.8699671;-0.2091547;0.8744398;0.4793675;0.02591109;-0.7356266;0.6671572;0.9423144;-0.5772686;-0.9678573;0.3318965;-0.08862668;0.1490533
