17;1;14,66016;-0.9932336;0.825122;0.8175924;-0.9819803;-0.2518608;-0.7460819;-0.1656657;-0.5242057;0.4908085;0.1106029;0.1124883;-0.2362773;-0.9219595;-0.6425087;0.6349703;-0.446482;-0.6025803;-0.330241;0.6359526;0.7645391;0.5744038;0.4010853;0.2835391;0.9740613
18;0;1,244141;-0.9932336;0.909922;0.8175924;-0.9819803;-0.2518608;-0.8467819;-0.1656657;-0.5242057;0.4908085;0.1106029;0.1124883;-0.4968773;-0.9219595;-0.6425087;0.6349703;-0.316082;-0.4257803;-0.330241;0.6359526;0.7645391;0.2933038;0.4010853;0.2835391;0.9740613
19;0;14,28906;-0.9932336;0.909922;0.8175924;-0.9819803;-0.2518608;-0.8467819;-0.1656657;-0.5242057;0.4908085;0.1106029;0.1124883;-0.4968773;-0.9219595;-0.6425087;0.6349703;-0.316082;-0.6025803;-0.330241;0.6359526;0.7645391;0.2933038;0.4073853;0.2835391;0.9740613
20;0;1,544922;0.6181332;-0.4272809;-0.2060645;0.1987884;0.4914103;0.0982448;0.8486328;0.230185;0.01261286;0.7180077;-0.1228259;0.04164612;0.582774;0.2158301;0.3680346;0.6786158;-0.809213;0.9592596;0.8508518;-0.9151405;-0.6403773;-0.7938789;-0.886344;-0.4147058
21;1;4,212891;0.6181332;-0.4272809;-0.2060645;0.1987884;0.4914103;-0.01585519;0.8486328;0.230185;0.01261286;0.7180077;-0.1228259;0.04164612;0.8515739;0.2158301;0.3680346;0.6786158;-0.809213;0.9592596;0.8508518;-0.9151405;-0.6403773;-0.7938789;-0.886344;-0.4147058
22;0;6,802734;-0.8005645;-0.9313941;0.1232244;0.7047157;-0.6482001;0.3322866;-0.003935814;-0.7739574;0.5721852;-0.2506307;-0.7140258;0.87685;-0.3207058;-0.6566308;0.3265828;0.8832366;0.4135467;-0.7290564;-0.07110721;0.6513695;-0.494356;0.5938649;-0.962899;0.1544787
23;0;2,796875;-0.8005645;-0.9313941;0.4079244;0.7047157;-0.6482001;0.3322866;-0.003935814;-0.8026574;0.5721852;-0.2506307;-0.7140258;0.87685;-0.3207058;-0.6566308;0.3265828;0.8832366;0.4135467;-0.7290564;-0.07110721;0.6513695;-0.494356;0.5938649;-0.962899;0.1544787
24;0;3,345703;0.4558241;-1;-0.3292;0.3242327;0.1629769;0.1851654;0.5751238;-0.8347005;-0.5696048;0.7276517;-0.1102908;-0.6086292;-0.063335;0.7253028;0.7256105;0.6137236;0.1482836;-0.3081758;-0.5043628;0.6550952;0.8048837;0.8827702;0.4869871;-0.2780209
25;0;1,417969;0.4558241;-1;-0.3292;0.3242327;0.1629769;0.1851654;0.5751238;-0.8347005;-0.5696048;0.7276517;-0.1102908;-0.6086292;-0.148035;0.7253028;0.7256105;0.6137236;0.1482836;-0.4325758;-0.5043628;0.6550952;0.8048837;0.8827702;0.4869871;-0.2780209
26;2;18,2207;-0.9932336;0.907922;0.8175924;-0.9819803;-0.2518608;-0.7460819;-0.1656657;-0.5242057;0.6538085;0.1106029;0.07478829;-0.4968773;-0.9219595;-0.6425087;0.6349703;-0.629482;-0.6025803;-0.203341;0.3869526;0.7645391;0.3810038;0.4010853;0.1613391;0.9740613
